Team,Year,Sport,Event,Medal
France,1952,Cycling,"Cycling Men's Road Race, Team",Bronze
Great Britain,2016,Hockey,Hockey Women's Hockey,Gold
Italy,1988,Athletics,"Athletics Men's 10,000 metres",Silver
Italy,2016,Volleyball,Volleyball Men's Volleyball,Silver
France,1964,Fencing,"Fencing Men's Sabre, Individual",Silver
Spain,1984,Basketball,Basketball Men's Basketball,Silver
Great Britain,2016,Cycling,Cycling Women's Team Pursuit,Gold
Italy,1976,Fencing,"Fencing Men's Sabre, Team",Silver
Italy,1984,Fencing,"Fencing Men's Sabre, Team",Gold
Great Britain,1964,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Italy,1952,Water Polo,Water Polo Men's Water Polo,Bronze
Italy,1972,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Italy,1960,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Great Britain,1952,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Great Britain,1956,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Great Britain,2012,Cycling,"Cycling Women's Road Race, Individual",Silver
Germany,1956,Rowing,Rowing Men's Coxed Pairs,Silver
Germany,1996,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze
Germany,2004,Cycling,"Cycling Women's Road Race, Individual",Silver
Germany,2012,Cycling,Cycling Women's Individual Time Trial,Silver
Germany,2004,Hockey,Hockey Men's Hockey,Bronze
France,2008,Archery,Archery Women's Team,Bronze
Spain,1992,Tennis,Tennis Men's Singles,Silver
France,2004,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Great Britain,2016,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
France,2000,Boxing,Boxing Men's Light-Flyweight,Gold
Italy,2012,Fencing,"Fencing Men's Foil, Team",Gold
Great Britain,1984,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Great Britain,1992,Hockey,Hockey Women's Hockey,Bronze
Italy,1992,Water Polo,Water Polo Men's Water Polo,Gold
Great Britain,2000,Rowing,Rowing Men's Coxed Eights,Gold
Italy,1964,Boxing,Boxing Men's Flyweight,Gold
Germany,1980,Athletics,Athletics Women's 100 metres,Bronze
Germany,1980,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Germany,1988,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Germany,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Germany,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Germany,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Italy,1960,Fencing,"Fencing Men's Foil, Team",Silver
France,1992,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
France,1984,Football,Football Men's Football,Gold
France,2016,Handball,Handball Women's Handball,Silver
Great Britain,2004,Sailing,Sailing Women's Three Person Keelboat,Gold
Great Britain,2008,Sailing,Sailing Women's Three Person Keelboat,Gold
Spain,2004,Sailing,Sailing Women's Two Person Dinghy,Silver
France,2016,Rowing,Rowing Men's Lightweight Double Sculls,Gold
France,2008,Athletics,"Athletics Men's 1,500 metres",Bronze
Germany,1992,Rowing,Rowing Men's Coxed Eights,Bronze
Germany,1996,Rowing,Rowing Men's Coxed Eights,Silver
Germany,2000,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Germany,2004,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Spain,2012,Water Polo,Water Polo Women's Water Polo,Silver
Germany,1976,Boxing,Boxing Men's Welterweight,Gold
Germany,2012,Fencing,"Fencing Men's Foil, Team",Bronze
Germany,2004,Hockey,Hockey Women's Hockey,Gold
Germany,2004,Football,Football Women's Football,Bronze
Great Britain,1992,Athletics,Athletics Men's Javelin Throw,Bronze
Great Britain,1996,Athletics,Athletics Men's Javelin Throw,Silver
Great Britain,2000,Athletics,Athletics Men's Javelin Throw,Silver
Italy,2016,Shooting,Shooting Women's Skeet,Gold
France,1992,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Germany,1976,Handball,Handball Women's Handball,Silver
Belgium,1952,Rowing,Rowing Men's Coxless Pairs,Silver
France,2008,Rowing,Rowing Men's Quadruple Sculls,Bronze
Germany,1972,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
Germany,2000,Sailing,Sailing Mixed Three Person Keelboat,Silver
Germany,1980,Football,Football Men's Football,Silver
Italy,1960,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Great Britain,1952,Athletics,Athletics Men's 100 metres,Bronze
Great Britain,1976,Rowing,Rowing Men's Double Sculls,Silver
Italy,1960,Rowing,Rowing Men's Coxed Fours,Bronze
Italy,1976,Shooting,Shooting Mixed Trap,Bronze
Italy,1956,Cycling,"Cycling Men's Road Race, Individual",Gold
Italy,2004,Athletics,Athletics Men's Marathon,Gold
Spain,1996,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Germany,1992,Diving,Diving Women's Springboard,Bronze
Germany,1992,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Germany,1992,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Germany,1996,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Great Britain,2012,Hockey,Hockey Women's Hockey,Bronze
France,1996,Cycling,Cycling Women's Sprint,Gold
France,2000,Cycling,Cycling Women's Sprint,Gold
France,2000,Cycling,Cycling Women's 500 metres Time Trial,Gold
Spain,1992,Water Polo,Water Polo Men's Water Polo,Silver
Spain,1996,Sailing,Sailing Mixed Multihull,Gold
France,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Germany,1988,Rowing,Rowing Women's Coxed Eights,Gold
Germany,1988,Swimming,Swimming Men's 200 metres Backstroke,Silver
Germany,1992,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Italy,1968,Boxing,Boxing Men's Heavyweight,Bronze
France,1968,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Great Britain,1976,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Germany,1956,Gymnastics,Gymnastics Men's Horse Vault,Gold
Germany,2012,Rowing,Rowing Women's Quadruple Sculls,Silver
Germany,2016,Rowing,Rowing Women's Quadruple Sculls,Gold
Italy,1960,Rowing,Rowing Men's Coxless Fours,Silver
Italy,1968,Rowing,Rowing Men's Coxed Pairs,Gold
France,1996,Rowing,Rowing Men's Double Sculls,Bronze
Great Britain,1984,Hockey,Hockey Men's Hockey,Bronze
Great Britain,1988,Hockey,Hockey Men's Hockey,Gold
France,2000,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
Spain,1992,Hockey,Hockey Women's Hockey,Gold
Italy,2012,Volleyball,Volleyball Men's Volleyball,Bronze
Great Britain,2000,Sailing,Sailing Mixed Skiff,Silver
Germany,1960,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
France,1996,Fencing,"Fencing Women's epee, Individual",Silver
France,1996,Fencing,"Fencing Women's epee, Team",Gold
France,1984,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
France,2016,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
France,1980,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Spain,2000,Handball,Handball Men's Handball,Bronze
Spain,2008,Handball,Handball Men's Handball,Bronze
Great Britain,1964,Rowing,Rowing Men's Coxless Fours,Silver
Italy,1984,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Germany,1964,Football,Football Men's Football,Bronze
Germany,2000,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Germany,2000,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Great Britain,2012,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
Germany,2016,Football,Football Women's Football,Gold
Italy,2004,Football,Football Men's Football,Bronze
Italy,1972,Shooting,Shooting Mixed Trap,Bronze
France,2016,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Germany,1952,Boxing,Boxing Men's Flyweight,Silver
Spain,2012,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Italy,2016,Judo,Judo Men's Half-Lightweight,Gold
Italy,2004,Basketball,Basketball Men's Basketball,Silver
Italy,1952,Fencing,"Fencing Men's epee, Team",Gold
Great Britain,2000,Rowing,Rowing Women's Quadruple Sculls,Silver
Italy,1988,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
Italy,1992,Swimming,Swimming Men's 200 metres Backstroke,Bronze
Italy,2012,Rowing,Rowing Men's Double Sculls,Silver
Germany,1992,Fencing,"Fencing Women's Foil, Team",Silver
Germany,1996,Fencing,"Fencing Women's Foil, Team",Bronze
Germany,2000,Fencing,"Fencing Women's Foil, Team",Bronze
Germany,1980,Boxing,Boxing Men's Light-Heavyweight,Bronze
France,2016,Boxing,Boxing Men's Light-Heavyweight,Bronze
France,1956,Fencing,"Fencing Men's Foil, Team",Silver
Germany,2000,Fencing,"Fencing Men's Sabre, Team",Bronze
Germany,2016,Football,Football Men's Football,Silver
Germany,1968,Gymnastics,Gymnastics Women's Team All-Around,Bronze
France,2008,Cycling,Cycling Men's Team Sprint,Silver
France,2012,Cycling,Cycling Men's Sprint,Silver
France,2012,Cycling,Cycling Men's Team Sprint,Silver
France,2016,Cycling,Cycling Men's Team Sprint,Bronze
Great Britain,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Germany,1992,Athletics,"Athletics Men's 5,000 metres",Gold
Germany,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Germany,1976,Rowing,Rowing Men's Coxed Eights,Gold
Germany,1976,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Germany,2004,Handball,Handball Men's Handball,Silver
France,2008,Sailing,Sailing Men's Two Person Dinghy,Bronze
France,2004,Taekwondo,Taekwondo Women's Heavyweight,Silver
Great Britain,1980,Rowing,Rowing Men's Coxless Fours,Bronze
France,2016,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver
Great Britain,2008,Rowing,Rowing Women's Double Sculls,Bronze
Great Britain,2012,Rowing,Rowing Women's Double Sculls,Gold
Great Britain,2012,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze
Great Britain,2012,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Germany,1980,Athletics,Athletics Men's 400 metres Hurdles,Gold
Germany,1980,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Germany,1992,Hockey,Hockey Men's Hockey,Gold
Germany,1992,Tennis,Tennis Men's Doubles,Gold
Germany,1992,Hockey,Hockey Women's Hockey,Silver
Germany,2000,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Germany,1996,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Germany,1968,Athletics,Athletics Men's Long Jump,Silver
Germany,1992,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Germany,1996,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Italy,1960,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Germany,1992,Weightlifting,Weightlifting Men's Lightweight,Bronze
Germany,1988,Athletics,Athletics Women's Heptathlon,Bronze
Germany,1988,Gymnastics,Gymnastics Men's Team All-Around,Silver
Germany,1988,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Germany,1988,Gymnastics,Gymnastics Men's Rings,Gold
Germany,1988,Rowing,Rowing Women's Single Sculls,Gold
Germany,1956,Boxing,Boxing Men's Bantamweight,Gold
Germany,1968,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Germany,1972,Swimming,Swimming Women's 100 metres Butterfly,Silver
Germany,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
France,2012,Basketball,Basketball Women's Basketball,Silver
Spain,2016,Athletics,Athletics Women's High Jump,Gold
Italy,1984,Fencing,"Fencing Men's epee, Team",Bronze
Italy,1984,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Italy,1996,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold
Italy,2000,Cycling,Cycling Women's Points Race,Gold
Spain,2012,Swimming,Swimming Women's 800 metres Freestyle,Silver
Spain,2012,Swimming,Swimming Women's 200 metres Butterfly,Silver
Spain,2016,Swimming,Swimming Women's 200 metres Butterfly,Gold
Spain,2016,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
Germany,1976,Sailing,Sailing Mixed Three Person Keelboat,Bronze
France,2000,Judo,Judo Men's Half-Lightweight,Silver
Italy,1996,Shooting,Shooting Men's Skeet,Bronze
Italy,2004,Shooting,Shooting Men's Skeet,Gold
Great Britain,2016,Rowing,Rowing Women's Coxed Eights,Silver
Great Britain,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
Great Britain,1972,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Great Britain,2016,Rowing,Rowing Men's Coxed Eights,Gold
Italy,1960,Boxing,Boxing Men's Welterweight,Gold
Italy,1952,Fencing,"Fencing Men's Foil, Team",Silver
Italy,1956,Fencing,"Fencing Men's Foil, Individual",Silver
Italy,1956,Fencing,"Fencing Men's Foil, Team",Gold
France,2008,Swimming,Swimming Men's 50 metres Freestyle,Bronze
France,2008,Swimming,Swimming Men's 100 metres Freestyle,Gold
France,2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Italy,1996,Volleyball,Volleyball Men's Volleyball,Silver
France,1952,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
France,1968,Fencing,"Fencing Men's Foil, Team",Gold
France,1972,Fencing,"Fencing Men's Foil, Team",Bronze
Italy,1960,Athletics,Athletics Men's 200 metres,Gold
France,1988,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
Italy,1964,Boxing,Boxing Men's Welterweight,Bronze
Italy,1984,Volleyball,Volleyball Men's Volleyball,Bronze
France,1972,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Germany,1976,Rowing,Rowing Men's Double Sculls,Bronze
France,1968,Athletics,Athletics Women's 400 metres,Gold
France,2000,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
France,1988,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Italy,2004,Cycling,"Cycling Men's Road Race, Individual",Gold
Germany,1980,Handball,Handball Men's Handball,Gold
Germany,1976,Athletics,Athletics Men's Shot Put,Gold
Germany,1980,Athletics,Athletics Men's Shot Put,Bronze
Germany,1964,Athletics,Athletics Men's Hammer Throw,Bronze
Italy,1992,Fencing,"Fencing Women's Foil, Team",Gold
Italy,2000,Fencing,"Fencing Women's Foil, Team",Gold
Italy,1964,Cycling,Cycling Men's Sprint,Silver
Italy,1964,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
France,1956,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Germany,1960,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Germany,2008,Hockey,Hockey Men's Hockey,Gold
Great Britain,1964,Athletics,Athletics Women's Long Jump,Gold
Great Britain,1964,Athletics,Athletics Women's Pentathlon,Silver
Great Britain,2016,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
France,2000,Basketball,Basketball Men's Basketball,Silver
Great Britain,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Germany,1976,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,1980,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Germany,2008,Judo,Judo Men's Half-Middleweight,Gold
Germany,2012,Judo,Judo Men's Half-Middleweight,Silver
Germany,2000,Fencing,"Fencing Men's Foil, Individual",Silver
Great Britain,2004,Rowing,Rowing Women's Coxless Pairs,Silver
Italy,1996,Archery,Archery Men's Team,Bronze
Italy,2000,Archery,Archery Men's Team,Silver
Great Britain,2012,Sailing,Sailing Men's Two Person Dinghy,Silver
Germany,1960,Rowing,Rowing Men's Coxed Eights,Gold
Great Britain,1996,Athletics,Athletics Men's 400 metres,Silver
Italy,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Italy,2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Germany,2000,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Germany,2004,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Spain,1992,Judo,Judo Women's Lightweight,Gold
Germany,1988,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,1988,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Germany,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
France,1952,Rowing,Rowing Men's Coxless Fours,Silver
Germany,1992,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Germany,1992,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Germany,1996,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Germany,1996,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Great Britain,1968,Athletics,Athletics Women's 400 metres,Silver
Great Britain,1992,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Great Britain,1996,Cycling,Cycling Men's Individual Time Trial,Bronze
Belgium,2016,Hockey,Hockey Men's Hockey,Silver
Germany,1980,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Germany,1976,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Germany,1976,Athletics,Athletics Women's Pentathlon,Silver
France,1980,Fencing,"Fencing Women's Foil, Team",Gold
France,1976,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Germany,1980,Rowing,Rowing Women's Coxed Eights,Gold
Germany,1976,Rowing,Rowing Women's Double Sculls,Silver
Italy,1972,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
Germany,1988,Rowing,Rowing Men's Quadruple Sculls,Bronze
Germany,2004,Judo,Judo Women's Middleweight,Bronze
Germany,1972,Rowing,Rowing Men's Double Sculls,Bronze
France,1996,Fencing,"Fencing Men's Foil, Individual",Bronze
France,2004,Fencing,"Fencing Men's epee, Team",Gold
France,1980,Fencing,"Fencing Men's epee, Team",Gold
France,1984,Fencing,"Fencing Men's epee, Individual",Gold
France,1984,Fencing,"Fencing Men's epee, Team",Silver
France,2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
France,1952,Swimming,Swimming Men's 400 metres Freestyle,Gold
France,1992,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Germany,2004,Fencing,"Fencing Women's epee, Team",Silver
